"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"155","senegal",0,194,198,0,151,0,0,147,0,221,134,0,149,184,131,0,403,375,0,0,1,0,1,0,1,0,1,2,2,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,10597,20,11,0,0,6,11,47,149,525,329,221,688,NA,250029.74621,NA,NA,NA,NA,NA,17.15063,NA,NA,NA,NA,148,"senegal","African Group",4.27272727272727,338,0.00642777515991868,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Senegal"
"156","serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,3,7,19,NA,NA,NA,NA,NA,755850.3422,859158.77977,932338.75671,1014044.67788,1127885.65239,NA,106.24242,121.41233,132.42937,144.83365,161.96494,NA,NA,NA,"serbia",2.71428571428571,249,0.00238056340308774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","Europe","Serbia"
"157","seychelles",0,251,0,0,0,454,94,211,0,64,0,0,22,0,560,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,951,10597,20,7,4,4,6,8,131,116,462,560,64,0,NA,NA,5391.76912,NA,NA,NA,NA,NA,56.33444,NA,NA,NA,149,"seychelles","African Group",16.375,194,0.00476307902753701,"African Group",NA,NA,"AOSIS",NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Seychelles"
"158","sierra leone",0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,0,10597,20,1,3,4,5,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,"sierra leone","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"159","singapore",237,439,0,112,0,373,970,1239,1205,816,929,0,406,450,692,101,554,269,1,1,0,1,1,3,4,3,4,4,2,2,4,1,5,0,0,1,1,1,0,0,2,1,1,0,0,1,2,1,0,0,1,4,3,4,11,7362,4176,6,2,9,10,12,93,1272,1613,2128,1897,1029,1483,9626254.30306,10504174.62427,10406651.71058,10255153.75022,NA,NA,1742.11108,1878.37788,1840.70135,1796.61529,NA,NA,151,"singapore","AOSIS",13.6774193548387,1390,0.0301454633291635,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Singapore"
"160","slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,7,5,5,5,9,42,NA,NA,NA,NA,NA,1379512.66141,1886935.12841,1273405.59767,1489672.11321,1486941.31811,NA,254.10991,347.14315,233.99575,273.43969,272.68247,NA,NA,NA,"EU",4.66666666666667,407,0.00459916574193315,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Eastern Europe","Europe","Europe","Slovakia"
"161","slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,3,3,2,2,31,769,NA,NA,NA,NA,NA,1505708.3611,1433393.59947,1406797.72127,1413479.56307,1567372.13714,NA,728.27913,692.05982,678.23302,680.73765,754.32873,NA,NA,NA,"EU",24.8064516129032,1163,0.0142551522024535,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Slovenia"
"162","solomon islands",0,0,0,0,0,0,0,0,970,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,4,1453,18284,83,1,7,0,5,2,18,0,0,1453,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,"PSIDS","AOSIS",9,85,0.00152278103849471,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Melanesia","Oceania","Oceania",NA
"163","somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"164","south africa",577,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,158,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,10597,20,62,4,4,2,382,7462,577,351,0,0,245,5266609.73425,5551117.36155,5795166.72308,6025578.22201,NA,NA,96.55676,100.22534,103.10282,105.69381,NA,NA,153,"south africa","African Group",19.5340314136126,5786,0.152977582830577,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","South Africa"
"165","spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,16,9,9,9,975,23582,NA,NA,NA,NA,NA,19356204.11288,19820573.5507,20631421.06303,22319313.38101,23552882.88799,NA,413.78928,424.67871,442.41024,478.46825,504.42153,NA,NA,NA,"EU",24.1866666666667,14761,0.297977865397845,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Spain"
"166","sri lanka",100,123,0,131,217,0,71,106,0,170,223,0,488,96,215,151,457,63,1,1,0,1,1,1,1,0,1,1,6,1,1,2,9,0,0,0,1,1,0,0,2,1,1,0,0,2,3,1,0,0,3,4,4,7,15,1977,1977,15,2,4,4,4,9,93,659,325,215,452,897,233644.80851,263460.81718,333152.82919,344265.90266,NA,NA,11.23913,12.60094,15.84844,16.29427,NA,NA,156,"sri lanka","sri lanka",10.3333333333333,290,0.00704317841698336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia","Sri Lanka"
"167","sudan",0,0,0,0,422,0,0,0,0,0,0,273,0,0,0,0,0,147,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,0,10597,20,2,2,3,3,1,3,0,0,0,0,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,"sudan","African Group",3,42,0.000614837160506095,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa",NA
"168","suriname",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9483,25,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARICOM",NA,NA,NA,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"169","swaziland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,5,2,3,2,1,11,NA,NA,NA,NA,NA,NA,26030.92903,NA,NA,NA,NA,NA,23.5778,NA,NA,NA,NA,NA,NA,"African Group",11,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Eswatini"
"170","sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40760,106,18,7,7,5,338,15105,0,0,0,0,0,14191147.12498,15493207.86877,16248921.34372,17837326.77269,18117085.36373,NA,1464.19267,1586.61415,1651.98351,1800.85957,1816.86152,NA,159,"sweden","EU",44.689349112426,5093,0.118911546443247,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Sweden"
"171","switzerland",162,176,0,367,0,0,214,582,731,257,202,0,764,308,507,199,1301,62,2,2,0,4,0,2,2,4,2,3,8,3,5,4,15,0,0,0,2,0,0,0,1,2,1,0,0,1,2,0,0,0,1,3,4,3,10,5065,5065,10,14,14,14,15,167,6178,1140,1066,1238,823,1503,NA,17854924.82128,NA,19111530.82084,NA,NA,NA,2152.03194,NA,2260.1672,NA,NA,160,"switzerland","switzerland",36.9940119760479,5087,0.129390306385261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Europe","Europe","Europe","Switzerland"
"172","syrian arabic republic",0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,111,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,"syrian arabic republic","syrian arabic republic",37,78,0.000455392983117237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia",NA
"173","taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"taiwan",14.1014492753623,2214,0.0543743960706379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia",NA,NA
"174","tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802,9,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,31686.21747,27538.45934,28665.5273,31651.10153,29238.66763,NA,3.83944,3.25744,3.30874,3.56421,3.21275,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Central Asia","Asia","Asia","Tajikistan"
"175","tanzania",0,0,0,117,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,0,10597,20,12,13,17,19,20,304,0,0,0,117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,"tanzania","African Group",15.2,334,0.00707400496379663,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"176","thailand",149,147,0,99,0,208,233,150,0,128,228,233,50,166,60,0,181,188,1,1,0,1,1,3,2,0,1,3,1,2,1,0,3,0,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,4,4,4,4,12,1196,1196,12,42,8,4,7,83,798,432,463,60,227,409,5084023.96996,6698278.14447,8919510.32491,12078351.83973,NA,NA,74.28576,97.47982,129.32204,174.51792,NA,NA,163,"thailand","thailand",9.6144578313253,970,0.0152035946793946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Thailand"
"177","togo",406,519,0,81,0,275,0,475,0,345,9,613,217,0,0,0,111,0,2,2,0,1,1,0,2,0,2,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,2,2,2,6,1157,10597,20,2,4,6,3,NA,NA,623,994,0,426,120,25273.59904,NA,NA,NA,NA,NA,3.54071,NA,NA,NA,NA,NA,165,"togo","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Togo"
"178","tonga",495,295,0,335,0,0,415,65,0,0,318,0,0,0,0,0,0,0,2,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,3,3,3,9,798,18284,83,4,8,8,6,NA,NA,910,360,0,335,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,"tonga","AOSIS",NA,NA,NA,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Polynesia","Oceania","Oceania",NA
"179","trinidad and tobago",0,0,0,0,0,0,0,0,1788,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,9483,25,1,4,5,5,8,85,0,0,2678,0,0,33063.82915,32505.65458,33230.84968,33355.34164,31395.01111,NA,24.26979,23.72108,24.12298,24.09965,22.58889,NA,167,"CARICOM","CARICOM",10.625,64,0.00138152917465922,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Trinidad and Tobago"
"180","tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,1,0,0,0,87,776,NA,NA,NA,NA,NA,756067.15745,718309.52663,706865.42036,NA,766222.0471,NA,68.34072,64.2498,62.53263,NA,66.25238,NA,NA,NA,"African Group",8.91954022988506,728,0.011258833377894,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa","Tunisia"
"181","turkey",95,0,0,0,0,0,680,544,0,0,77,374,78,497,76,0,850,521,1,1,0,0,0,4,4,0,0,2,2,4,1,0,14,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,2,3,3,8,2802,2802,8,12,6,2,13,233,1694,853,1041,76,0,927,15933049.58606,17739024.78271,19853132.95364,21744006.74705,NA,NA,206.30847,225.89021,248.69927,268.05915,NA,NA,168,"Non UNCLOS Party","Non UNCLOS Party",7.27038626609442,2812,0.0338557036065816,"Non UNCLOS Party",NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Western Asia","Asia","Asia","Turkey"
"182","turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802,9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Central Asia","Asia","Asia",NA
"183","tuvalu",0,0,0,0,0,388,0,148,0,1564,0,0,0,0,0,770,245,816,0,0,0,0,1,0,1,0,7,0,0,0,0,6,7,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,3,2,3,4,9,2727,18284,83,3,0,3,9,NA,NA,0,148,0,2334,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,"PSIDS","AOSIS",NA,NA,NA,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Polynesia","Oceania","Oceania",NA
"184","uganda",0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597,20,28,0,0,3,3,21,0,0,0,0,0,109960.68161,NA,NA,NA,NA,NA,2.97903,NA,NA,NA,NA,NA,170,"uganda","African Group",7,54,0.000763940199644996,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Uganda"
"185","uk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,4,4,4,12,0,0,12,15,9,12,12,2063,82987,0,0,0,0,0,43811100.10251,45678218.85855,48106500.62729,51029126.32746,53137811.64544,NA,669.65851,693.56389,725.61075,764.73952,791.42804,NA,171,"uk","uk",40.2263693650024,32047,0.73735936032237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Europe","Europe","Europe","United Kingdom of Great Britain and Northern Ireland"
"186","ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,37,161,NA,NA,NA,NA,NA,3004475.05216,2677244.02203,2299606.17063,2261434.60042,2514839.19249,NA,66.60104,62.61144,53.99293,53.31698,59.56968,NA,NA,NA,"ukraine",4.35135135135135,1277,0.0202286071066085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Europe","Europe","Europe","Ukraine"
"187","united arab emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,12,119,NA,NA,NA,NA,NA,4704962.45993,5380808.33632,5770516.21005,NA,8439584.8595,NA,510.62222,580.89889,616.4436,NA,876.29745,NA,NA,NA,"united arab emirates",9.91666666666667,425,0.00995440746418868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","United Arab Emirates"
"188","uruguay",381,883,0,476,0,0,0,0,1433,0,0,0,0,0,565,0,0,393,1,1,0,2,0,0,0,6,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,4,1998,13259,79,4,7,5,5,33,873,381,883,1998,476,0,229438.933,251414.95004,289082.19885,354649.55675,319137.87035,NA,67.47339,73.68531,84.42503,103.19657,92.52291,NA,180,"CLAM","CLAM",26.4545454545455,815,0.0179180144064475,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Uruguay"
"189","usa",1143,1254,175,650,0,0,1415,2211,2126,1057,1764,172,807,760,1720,787,2588,439,4,4,1,4,0,3,4,6,4,8,10,3,6,6,23,0,0,0,5,5,1,1,1,5,5,1,2,1,6,6,1,1,3,13,14,17,44,15235,15235,44,16,21,20,20,4563,228086,3365,4225,4021,2494,4352,476459000,495094000,516590000,548984000,581553000,NA,1495.13258,1542.93383,1599.27065,1688.74114,1777.92614,NA,181,"usa","usa",49.9859741398203,57107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern America","Americas","North America","United States of America"
"190","uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802,9,NA,NA,NA,NA,2,47,NA,NA,NA,NA,NA,306337.77822,344920.93843,373136.74161,328659.32086,296329.47381,NA,10.06816,11.15182,11.86756,10.28353,9.1245,NA,NA,NA,"Non UNCLOS Party",23.5,30,0.000391389281938986,"Non UNCLOS Party",NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Central Asia","Asia","Asia","Uzbekistan"
"191","vanuatu",0,0,0,0,0,0,0,190,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,18284,83,NA,4,0,0,1,13,0,190,0,221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,"vanuatu","AOSIS",13,13,0.000306122457613421,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Melanesia","Oceania","Oceania",NA
"192","venezuela",92,0,0,0,0,70,0,0,0,0,0,274,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,8,3,4,5,6,30,495,92,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,"Non UNCLOS Party","Non UNCLOS Party",16.5,804,0.0217430023051163,"Non UNCLOS Party",NA,NA,NA,NA,NA,"Non UNCLOS Party",NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"193","viet nam",159,175,0,0,0,421,381,0,0,0,0,180,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381,0,8,8,7,8,28,117,540,175,0,0,0,NA,2494936.38079,NA,3565568.03614,NA,NA,NA,26.92075,NA,37.69074,NA,NA,184,"viet nam","viet nam",4.17857142857143,1141,0.0285164904615767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Viet Nam"
"194","yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,3,2,0,0,3,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yemen",8,27,0.000390305225927029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia",NA
"195","zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
