actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
gambia,gambia,African Group,NA,NA,NA,NA,NA,9333,8,4,4,5,NA,NA,NA,NA,NA,NA,715,10755,NA,0
georgia,georgia,georgia,NA,NA,NA,NA,NA,NA,NA,4,NA,0,NA,4,25,6.25,298,0.00379448711082859,4,25,"fiji, peru, peru",2
germany,germany,eu,1,1,1,NA,0,20144,37,35,13,19,NA,1164,30409,26.1245704467354,20239,0.456623606136718,9981,277146,eu,1
ghana,ghana,African Group,0,0,0,NA,41,9333,8,10,3,6,NA,5,16,3.2,107,0.0027237433373795,715,10755,fiji,1
greece,greece,eu,NA,NA,NA,NA,NA,20144,37,4,3,3,NA,277,4517,16.3068592057762,5037,0.0694738379752863,9981,277146,NA,0
greenland,greenland,greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,221,0.00379508101790462,2,2,NA,0
grenada,grenada,CARICOM,NA,NA,NA,NA,NA,9787,24,3,2,2,NA,NA,NA,NA,NA,NA,27,258,NA,0
guatemala,CLAM,CLAM,0,0,0,2,164,13452,21,3,4,3,NA,NA,NA,NA,NA,NA,1779,23382,peru,1
guinea,guinea,African Group,NA,NA,NA,NA,NA,9333,8,3,0,4,NA,1,2,2,76,0.0012509558704041,715,10755,"federated states of micronesia, federated states of micronesia, federated states of micronesia",1
guinea-bissau,guinea-bissau,African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
guyana,guyana,CARICOM,NA,NA,NA,NA,NA,9787,24,5,4,4,NA,NA,NA,NA,NA,NA,27,258,NA,0
haiti,haiti,CARICOM,NA,NA,NA,NA,NA,9787,24,2,0,0,NA,NA,NA,NA,NA,NA,27,258,NA,0
holy see,holy see,holy see,0,0,0,11,6525,6525,11,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"fiji, holy see, tonga, holy see, fiji, togo, iceland",4
honduras,CLAM,CLAM,0,0,0,NA,967,13452,21,9,5,6,NA,1,0,0,12,3.07597944238264e-4,1779,23382,"bangladesh, brazil, peru, chile, palestine, bangladesh, peru",5
hong kong,hong kong,hong kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
hungary,hungary,eu,NA,NA,NA,NA,NA,20144,37,2,4,4,NA,21,290,13.8095238095238,542,0.0093341215339267,9981,277146,NA,0
iceland,iceland,iceland,0,0,0,9,4877,4877,9,2,5,6,NA,19,221,11.6315789473684,1081,0.0255098320117681,19,221,"algeria, iceland, iceland, russian federation, usa, holy see, new zealand, iceland, iceland",5
india,india,india,0,0,0,10,2093,2093,10,5,7,6,NA,527,5267,9.99430740037951,1904,0.0457082028646522,527,5267,"bangladesh, maldives",2
indonesia,indonesia,indonesia,0,0,0,2,3040,3040,2,32,10,6,NA,76,279,3.67105263157895,1977,0.0482847479057003,76,279,"indonesia, indonesia, indonesia",0
iran,iran,iran,0,0,0,2,1197,1197,2,3,6,4,NA,133,631,4.74436090225564,608,0.0120250881982134,133,631,"colombia, colombia, russian federation",2
iraq,iraq,iraq,NA,NA,NA,NA,NA,NA,NA,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ireland,ireland,eu,0,0,1,NA,0,20144,37,3,5,4,NA,130,3602,27.7076923076923,2939,0.0664600537386742,9981,277146,NA,0
israel,israel,israel,0,0,0,2,360,360,2,10,6,3,NA,174,3890,22.3563218390805,2804,0.0594566102917236,174,3890,"peru, usa",2
italy,italy,eu,NA,NA,NA,NA,NA,20144,37,9,3,3,NA,1368,27961,20.4393274853801,14613,0.257747222208437,9981,277146,spain,1
jamaica,CARICOM,CARICOM,1,0,0,5,3339,9787,24,4,4,3,NA,6,16,2.66666666666667,69,0.00192123094064636,27,258,"jamaica, tonga, norway, belize, norway, jamaica",3
japan,japan,japan,0,0,0,19,7278,7278,19,44,21,21,NA,650,10394,15.9907692307692,6498,0.142046100371039,650,10394,"japan, australia, japan, russian federation, holy see, australia, usa, republic of korea, holy see, venezuela, japan, new zealand, usa, republic of korea, japan, japan, republic of korea, usa, russian federation, nigeria, philippines, russian federation, iceland, federated states of micronesia",12
